city,raion,address,lat,lon,workinghours,mintime
თბილისი,დიდუბე,წერეთლის 77,41.7373386,44.78191262,09:00-18:00,15
თბილისი,გლდანი,გლდანის მეტრო,41.79263158,44.81736839,00:00-23:59,15
თბილისი,ჩუღურეთი,აღმაშენებლის 62-64,41.70725037,44.79893109,09:00-18:00,15
თბილისი,ვაკე,მ. თამარაშვილის 1,41.71381395,44.74722208,09:00-18:00,15
თბილისი,ვაკე,თამარაშვილის 4ა,41.71302107,44.74977555,09:00-18:00,15
თბილისი,ვაკე,ყიფშიძის ჩასახვევთან,41.71160247,44.75507484,09:00-18:00,15
თბილისი,ვაკე,მოსეშვილსი 13 (ვისოლის ოფისთან),41.71072646,44.75345344,09:00-18:00,15
თბილისი,ვაკე,მიშველაძის ქ,41.70948302,44.75353391,09:00-18:00,15
თბილისი,ვაკე,აბაშიძის 77 თან,41.70871712,44.75547046,09:00-18:00,15
თბილისი,ვაკე,მოსაშვილსი 12 თან,41.71037606,44.75676538,09:00-18:00,15
თბილისი,ვაკე,მოსეშვილ-ბერძენიშვილის კვეთ,41.71002766,44.75886614,09:00-18:00,15
თბილისი,ვაკე,"ფალიაშვილსი ქ , 165 საჯ.სკოლასთან",41.70931082,44.75984724,09:00-18:00,15
თბილისი,ვაკე,აბაშიძის 60,41.70833567,44.75868585,09:00-18:00,15
თბილისი,ვაკე,აბაშიძის 47,41.70829262,44.76060287,09:00-18:00,15
თბილისი,ვაკე,ზ. ფალიაშვილის 72,41.7092072,44.76092101,09:00-18:00,15
თბილისი,ვაკე,თ.აბულაძის 34 თან,41.71178517,44.75986019,09:00-18:00,15
თბილისი,ვაკე,თ.აბულაძის 36 (თურქეთის საელჩოსთან ახლოს),41.71161198,44.76092436,09:00-18:00,15
თბილისი,ვაკე,ი.აბაშიძის 42 (საკონდიტრო ლეგატოს წინ),41.70784909,44.76351575,09:00-18:00,15
თბილისი,ვაკე,აბაშიძის 32,41.70768239,44.76621502,09:00-18:00,15
თბილისი,ვაკე,ზ.ფალიაშვილი 52,41.70877218,44.76541207,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 29 31,41.71005769,44.76550327,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 42,41.70984144,44.76726087,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 34 (გუდვილი ვაკე),41.70921671,44.76979556,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 21,41.70954309,44.76920509,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 13(ბანკ რესპუბლიკასთან),41.7091281,44.77187783,09:00-18:00,15
თბილისი,ვაკე,ი.აბაშიძის 9,41.70723935,44.77256984,09:00-18:00,15
თბილისი,ვაკე,შალვა რადიანის 4,41.70684488,44.76989434,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 4-6,41.70927678,44.77844568,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 16,41.7092107,44.77535636,09:00-18:00,15
თბილისი,ვაკე,ბარნოვის 42,41.70403241,44.78372485,09:00-18:00,15
თბილისი,ვაკე,ზანდუკელი 32,41.70415957,44.78494928,09:00-18:00,15
თბილისი,ვაკე,კეკელიძის 5-6,41.70782906,44.77843495,09:00-18:00,15
თბილისი,ვაკე,ზანდუკელის ქ 13,41.70425369,44.78682817,09:00-18:00,15
თბილისი,ვაკე,მრგვალი ბაღი,41.7076073,44.77508776,09:00-18:00,15
თბილისი,ვაკე,ბარნოვის 84,41.70718028,44.77664592,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 10,41.70942796,44.77746055,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა,41.72752161,44.76702773,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 3,41.72753012,44.76644904,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 7,41.72746556,44.76559983,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 11-13,41.72735546,44.76439447,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 8,41.72734195,44.76479412,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 17,41.72723135,44.76301686,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 25,41.72696411,44.76032153,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 27,41.72687703,44.75940124,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 27 -29,41.72675292,44.75817891,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 20,41.72660179,44.75713612,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 26,41.72634455,44.75442708,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 30ა,41.7260623,44.75145997,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 36,41.72583208,44.74914045,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 39,41.72568895,44.74721425,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა44,41.72556684,44.74660539,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 45 (დელისის მეტრო),41.72536866,44.74413641,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 47 (ბიბლუსთან),41.72521251,44.74231289,09:00-18:00,15
თბილისი,საბურთალო,მარი ჯანის 1,41.72427464,44.72948925,09:00-18:00,15
თბილისი,საბურთალო,ვაჟა-ფშაველა 78,41.72384824,44.72667389,09:00-18:00,15
თბილისი,საბურთალო,კოსტავას 63-65,41.71401917,44.78120224,09:00-18:00,15
თბილისი,საბურთალო,კოსტავას 67 69,41.71507132,44.77955075,09:00-18:00,15
თბილისი,საბურთალო,კოსტავას1 (ზოოპარკი),41.71343453,44.78098095,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 1 3,41.71845889,44.77775903,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 5,41.72004051,44.77627041,09:00-18:00,15
თბილისი,საბურთალო,პეკინის7 7 ა,41.72050798,44.77573724,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 13 15,41.72201948,44.77409937,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 9 11,41.72142589,44.77471263,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 17,41.72293436,44.77311538,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 19 21,41.72351392,44.77255287,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 23 25,41.72453488,44.77145316,09:00-18:00,15
თბილისი,საბურთალო,პ ქავთარაძის 9,41.72118265,44.72861619,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 29 31,41.72642062,44.76954075,09:00-18:00,15
თბილისი,საბურთალო,ქავთარაძის 16 (ლეჩკომბინატთან),41.72145392,44.73153653,09:00-18:00,15
თბილისი,საბურთალო,მარი ჯანის ქ 4,41.72308751,44.72984062,09:00-18:00,15
თბილისი,საბურთალო,პეკინის2,41.7173938,44.77851542,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის 44,41.72357598,44.73971458,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 4 8,41.71990237,44.77616044,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის 49,41.72386725,44.74185423,09:00-18:00,15
თბილისი,საბურთალო,პეკინის8 10,41.72047895,44.77547111,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის 30,41.72392931,44.74325971,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 14,41.72198845,44.77392884,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის 24 (სმაილთან),41.72419056,44.74609614,09:00-18:00,15
თბილისი,საბურთალო,პეკინის18 20,41.7230775,44.7727594,09:00-18:00,15
თბილისი,საბურათალო,პეკინის22 24,41.72386225,44.77188231,09:00-18:00,15
თბილისი,საბურთალო,კოსტავას 77,41.72195641,44.77753105,09:00-18:00,15
თბილისი,საბურთალო,კოსტავა (მაკდონალდსი),41.7187512,44.77864475,09:00-18:00,15
თბილისი,საბურთალო,შარტავას 7,41.72564792,44.77500709,09:00-18:00,15
თბილისი,საბურთალო,შარტავას7 9,41.72605229,44.77457257,09:00-18:00,15
თბილისი,საბურთალო,შარტავას35 37,41.72849247,44.77210762,09:00-18:00,15
თბილისი,საბურთალო,კანდელაკის2,41.7310987,44.76898285,09:00-18:00,15
თბილისი,საბურთალო,ჟვანიას მოედანთან,41.731467,44.76760151,09:00-18:00,15
თბილისი,საბურთალო,პეკინის41,41.73010586,44.76793678,09:00-18:00,15
თბილისი,საბურთალო,შარტავას14,41.72538167,44.77500709,09:00-18:00,15
თბილისი,საბურთალო,შარტავას16 18,41.72653472,44.77384033,09:00-18:00,15
თბილისი,საბურთალო,შარტავას22 26,41.72869464,44.77165164,09:00-18:00,15
თბილისი,საბურთალო,შარტავას 34 36,41.72973354,44.77056535,09:00-18:00,15
თბილისი,საბურთალო,შარტავას40 42,41.73056825,44.76972045,09:00-18:00,15
თბილისი,საბურთალო,კოსტავას 70,41.72055703,44.77770003,09:00-18:00,15
თბილისი,საბურთალო,კოსტავას 70 (დანიურის უკან),41.72023471,44.77727087,09:00-18:00,15
თბილისი,საბურთალო,მარიჯანის ქ,41.72252296,44.72990843,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის 16 20,41.7251995,44.75681098,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის19 39,41.72513143,44.75434871,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის14ა,41.72570797,44.76160677,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის12,41.7258441,44.76340385,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის15,41.72604428,44.76368012,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის4,41.72620643,44.76659032,09:00-18:00,15
